Index,DateStart,DateEnd,DateSet,Course,Center,Teachers
Shwe4,2027/07/30,2027/08/10,30-07-2027 - 10-08-2027,10D,Shwe,U Than Htay - Daw Kay Thi
Shwe5,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Shwe,U Win Maung - Daw Win Win Myint
Shwe6,2027/10/13,2027/10/16,13-10-2027 - 16-10-2027,3D,Shwe,U Win Maung - Daw Win Win Myint
Shwe7,2027/11/11,2027/11/22,11-11-2027 - 22-11-2027,10D,Shwe,U Than Htay - Daw Soe Phint
Shwe8,2027/12/17,2027/12/25,17-12-2027 - 25-12-2027,STP,Shwe,U Win Maung - Daw Lay Sint
Labha1,2027/03/08,2027/03/19,8-03-2027 - 19-03-2027,10D,Labha,U Thein Htwe - Daw Soe Phint
Labha2,2027/04/11,2027/04/22,11-04-2027 - 22-04-2027,10D,Labha,U Chandra Kumar - Daw Khin Htwe
Labha3,2027/05/19,2027/05/30,19-05-2027 - 30-05-2027,10D,Labha,U Thein Htwe - Daw Than Aye
Labha4,2027/08/01,2027/08/12,1-08-2027 - 12-08-2027,10D,Labha,U Man Maung Daw Ye Ye 2
Labha5,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Labha,U Sai Cho - Daw Nang Htwe May
Labha6,2027/10/03,2027/10/11,3-10-2027 - 11-10-2027,STP,Labha,Dr Tin Mg Yin Daw Swe Swe Win
Labha7,2027/11/07,2027/11/18,7-11-2027 - 18-11-2027,10D,Labha,U Sein Tun - Daw Wai Wai
Mayu1,2027/01/08,2027/01/19,8-01-2027 - 19-01-2027,10D,Mayuradipa,U Thet Tin Sein - Dr Khin Aye Kyaing
Mayu2,2027/02/22,2027/03/05,22-02-2027 - 5-03-2027,10D,Mayuradipa,U Zaw Tun - Daw Than Than Nwe
Mayu3,2027/04/09,2027/04/20,9-4-2027 - 20-4-2027,10D,Mayuradipa,U Kyaw Mya - Daw Than Aye
Mayu4,2027/06/01,2027/06/12,1-06-2027 - 12-06-2027,10D,Mayuradipa,U Tin Lu Win - Daw Nyo Nyo WIn
Mayu5,2027/07/10,2027/07/21,10-07-2027 - 21-07-2027,10D,Mayuradipa,U Kyaw Mya - Daw Ohn Ye
Mayu6,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Mayuradipa,U Kyaw Mya - Daw Khin Htwe
Mayu7,2027/10/23,2027/10/31,23-10-2023 - 31-10-2027,STP,Mayuradipa,U Aung Myat Cho - Daw Tin Tin Mya
Manorama1,2027/02/22,2027/03/05,22-02-2027 - 5-03-2027,10D,Manorama,U Soe Oo - Daw Khin Htwe
Manorama2,2027/03/15,2027/03/23,15-03-2027 - 23-03-2027,TeenBoys,Manorama,U Hlaing U Aung Kyaw Oo
Manorama3,2027/03/28,2027/04/05,28-03-2027 - 5-04-2027,TeenGirls,Manorama,Daw Nyo Nyo Win Daw Tin Tin Aye
Manorama4,2027/04/10,2027/04/21,10-04-2027 - 21-04-2027,10D,Manorama,U Thet Tin Sein - Daw Yin Hla
Manorama5,2027/06/14,2027/06/22,14-06-2027 - 22-06-2027,STP,Manorama,U Win Myint - Daw Nyo Nyo Win
Manorama6,2027/07/06,2027/07/17,6-07-2027 - 17-07-2027,10D,Manorama,U Tin Lu Win - Daw Than Than Nwe
Manorama7,2027/08/07,2027/08/18,7-08-2027 - 18-08-2027,10D,Manorama,U Kyaw Mya - Daw Nan Kham Phone
Manorama8,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Manorama,U Aung Myat Cho - Daw Nyo Nyo WIn
Manorama9,2027/10/13,2027/10/16,13-10-2027 - 16-10-2027,3D,Manorama,U Kyaw Mya - Daw Tin Tin Aye
Manorama10,2027/11/24,2027/12/05,24-11-2027 - 5-12-2027,10D,Manorama,U Kyaw Thu  Daw Kyi Kyi Tun
Manorhara1,2027/01/08,2027/01/19,8-01-2027 - 19-01-2027,10D,Manohara,U Tin Maung - Daw Ohn Ye
Manorhara2,2027/02/23,2027/03/06,23-02-2027- 6-03-2027,10D,Manohara,U Kyaw Mya - Daw Nang Sam Hom
Manorhara3,2027/03/08,2027/03/16,8-03-2027 - 16-03-2027,TeenGirls,Manohara,Daw Ye Ye 1  Daw Than Aye
Manorhara4,2027/04/09,2027/04/20,9-04-2027 - 20-04-2027,10D,Manohara,U Tin Maung - Daw Than Than Nwe
Manorhara5,2027/05/07,2027/05/18,7-05-2027 - 18-05-2027,10D,Manohara,U Sein Tun - Daw Nan Cho Cho
Manorhara6,2027/06/09,2027/06/20,9-06-2027 - 20-06-2027,10D,Manohara,U Aung Kyaw Oo - Daw Tin Tin Aye
Manorhara7,2027/07/05,2027/07/16,5-07-2027 - 16-07-2027,10D,Manohara,U Tint Lwin - Daw Swe Swe Maw
Manorhara8,2027/08/06,2027/08/14,6-08-2027 - 14-08-2027,STP,Manohara,U Tin Maung - Dr Khin Aye Kyaing
Manorhara9,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Manohara,U Man Maung Daw Ye Ye 2
Manorhara10,2027/10/20,2027/10/31,20-10-2027 - 31-10-2027,10D,Manohara,U Tin Lu Win Daw Myint Myint Si
Pabbata1,2027/03/10,2027/03/21,10-03-2027 - 21-03-2027,10D,Pabbata,U Sai Cho -  Daw Nang Htwe May
Pabbata2,2027/04/12,2027/04/23,12-04-2027 - 23-04-2027,10D,Pabbata,U Thein Htwe - Daw Soe Phint
Pabbata3,2027/05/06,2027/05/17,6-05-2027 - 17-05-2027,10D,Pabbata,U Thein Htwe - Daw Than Aye
Pabbata4,2027/06/09,2027/06/17,9-06-2027 - 17-06-2027,STP,Pabbata,U Sai Hsai Leng - Daw Wai Wai
Pabbata5,2027/07/05,2027/07/16,5-07-2027 - 16-07-2027,10D,Pabbata,U Sai Cho -  Daw Nang Htwe May
